Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,18.25,,41.834991455078125,-71.4078140258789,41.8351936340332,-71.4075698852539,,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40776824951172,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,18.25,,41.835060119628906,-71.4078140258789,41.835166931152344,-71.40762329101562,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,18.25,,41.83507537841797,-71.4078140258789,41.8351936340332,-71.40771484375,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,18.25,,41.835044860839844,-71.4078140258789,41.835166931152344,-71.40771484375,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,18.25,,41.83507537841797,-71.4078140258789,41.8351936340332,-71.40771484375,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,18.25,,41.83507537841797,-71.4078140258789,41.83523941040039,-71.40771484375,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.4078140258789,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,18.25,,41.835086822509766,-71.4078140258789,41.835166931152344,-71.4073486328125,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4078140258789,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83522415161133,-71.40771484375,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,18.25,,41.835166931152344,-71.4078140258789,41.83531188964844,-71.40756225585938,,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,18.25,,41.835166931152344,-71.4078140258789,41.835391998291016,-71.40776824951172,,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4076919555664,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,18.25,,41.83509063720703,-71.40797424316406,41.83518981933594,-71.4076919555664,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4078140258789,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4078140258789,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,18.25,,41.83507537841797,-71.4078369140625,41.8351936340332,-71.40771484375,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83522415161133,-71.40771484375,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,18.25,,41.835060119628906,-71.4078140258789,41.8351936340332,-71.40767669677734,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4078140258789,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,18.25,,41.835166931152344,-71.4078140258789,41.83523941040039,-71.40776824951172,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83509063720703,-71.4078140258789,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,18.25,,41.83502960205078,-71.4078140258789,41.835166931152344,-71.40762329101562,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,18.25,,41.8349494934082,-71.40794372558594,41.835166931152344,-71.4078140258789,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,18.25,,41.83509063720703,-71.407958984375,41.83527374267578,-71.40771484375,,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,18.25,,41.835060119628906,-71.4078140258789,41.8351936340332,-71.40762329101562,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,18.25,,41.83507537841797,-71.4078140258789,41.8351936340332,-71.40771484375,,,,,,900000,,
07:15:00.000-04:00,07:30:00.000-04:00,18.25,,41.835166931152344,-71.4078140258789,41.83523941040039,-71.4078140258789,,,,,,900000,,
07:30:00.000-04:00,07:45:00.000-04:00,18.25,,41.83499526977539,-71.4078140258789,41.835208892822266,-71.40762329101562,,,,10,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,14.996450424194336,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,25,,739551,,
08:00:00.000-04:00,08:15:00.000-04:00,16.014131546020508,,41.83507537841797,-71.4078140258789,41.83523941040039,-71.40771484375,,,,64,,789738,,
08:15:00.000-04:00,08:30:00.000-04:00,18.25,,,,,,,,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,18.25,,,,,,,,,,,900000,,
08:45:00.000-04:00,09:00:00.000-04:00,41.908447265625,455.9569091796875,41.835105895996094,-71.40800476074219,41.83545684814453,-71.40612030029297,2.5855000019073486,5.400000095367432,0.5099999904632568,3,388906,511094,,
