Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,3,900000,
00:15:00.000-04:00,00:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,7,900000,
00:30:00.000-04:00,00:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,18.249998092651367,,,,,,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,18.249998092651367,,,,,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,18.249998092651367,,41.83506774902344,-71.40786743164062,41.8351936340332,-71.40771484375,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,18.249998092651367,,41.8351936340332,-71.40776824951172,41.8351936340332,-71.40776824951172,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,18.249998092651367,,41.8350830078125,-71.4079360961914,41.835147857666016,-71.40771484375,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40782928466797,41.835208892822266,-71.40771484375,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,18.249998092651367,,,,,,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,18.249998092651367,,41.83509063720703,-71.40787506103516,41.83518600463867,-71.40771484375,,,,3,900000,
07:00:00.000-04:00,07:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,4,900000,
07:15:00.000-04:00,07:30:00.000-04:00,18.249998092651367,,,,,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40886688232422,41.8351936340332,-71.40771484375,,,,8,900000,
08:00:00.000-04:00,08:15:00.000-04:00,27.689733505249023,212.5745086669922,41.835105895996094,-71.4078598022461,41.8354606628418,-71.40697479248047,3.009999990463257,3.009999990463257,3.009999990463257,473,733742,166258
08:15:00.000-04:00,08:30:00.000-04:00,61.09099197387695,1076.6839599609375,41.826900482177734,-71.4012680053711,41.832157135009766,-71.40025329589844,,,,1708,1917,792313
08:30:00.000-04:00,08:45:00.000-04:00,18.25,,,,,,,,,5,900000,
08:45:00.000-04:00,09:00:00.000-04:00,18.25,,41.826900482177734,-71.40057373046875,41.82697677612305,-71.40057373046875,,,,,900000,
09:00:00.000-04:00,09:15:00.000-04:00,18.25,,,,,,,,,,900000,
09:15:00.000-04:00,09:30:00.000-04:00,18.25,,,,,,,,,,900000,
09:30:00.000-04:00,09:45:00.000-04:00,18.25,,,,,,,,,,900000,
