Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2017-03-05,768.4427490234375,1316.05908203125,41.833133697509766,-71.40985107421875,41.837257385253906,-71.40762329101562,3.1600000858306885,3.1600000858306885,3.1600000858306885,4040,,30680795,1594605,85560
2017-03-06,1939.771484375,3040.956787109375,41.81733322143555,-71.40882873535156,41.835411071777344,-71.3989028930664,0.9484977126121521,3.059999942779541,0.550000011920929,6603,,80453023,1308253,1172799
2017-03-07,2011.3314208984375,3668.145263671875,41.808860778808594,-71.41305541992188,41.83546447753906,-71.39918518066406,1.1712244749069214,3.069999933242798,0.5,8088,,78574981,2511695,1104861
2017-03-08,1886.94287109375,3678.4365234375,41.826656341552734,-71.40791320800781,41.835453033447266,-71.3999252319336,1.1036224365234375,3.369999885559082,0.5299999713897705,7300,,75076258,2913997,
2017-03-09,1959.0072021484375,5668.912109375,41.82185363769531,-71.40818786621094,41.835575103759766,-71.3919448852539,1.1159824132919312,2.759999990463257,0.5199999809265137,9611,,55585402,4361291,
2017-03-10,1930.3958740234375,3476.212890625,41.82678985595703,-71.4080581665039,41.83567810058594,-71.40010833740234,1.3316888809204102,3.430000066757202,0.5,6672,,57447858,2347809,576850
2017-03-11,1751.4134521484375,319.45159912109375,41.80640411376953,-71.42496490478516,41.85411071777344,-71.39254760742188,2.8892199993133545,13.8100004196167,0.5099999904632568,5604,,76412677,1153581,347897
2017-03-12,1683.434326171875,291.54986572265625,41.826881408691406,-71.41759490966797,41.84743881225586,-71.40748596191406,,,,2922,,76620939,943486,
2017-03-13,1942.63720703125,3575.544677734375,41.826473236083984,-71.4081039428711,41.83647537231445,-71.39986419677734,0.9655507206916809,3.369999885559082,0.5600000023841858,7167,,81607879,1929737,850184
2017-03-14,1698.0555419921875,33.2386589050293,41.8349609375,-71.4082260131836,41.835304260253906,-71.40736389160156,0.7837387919425964,2.990000009536743,0.5299999713897705,1469,,78946304,81538,
2017-03-15,1919.9208984375,3855.65087890625,41.81754684448242,-71.41063690185547,41.8355827331543,-71.39203643798828,3.187584400177002,9.899999618530273,0.5,8513,,56041986,3773940,
2017-03-16,1945.5523681640625,3428.523681640625,41.826866149902344,-71.40796661376953,41.835418701171875,-71.40015411376953,2.3343312740325928,3.009999990463257,0.5099999904632568,6599,,76310307,2033116,769989
2017-03-17,1970.9794921875,3798.287841796875,41.82668685913086,-71.40808868408203,41.85490417480469,-71.40001678466797,1.7974507808685303,9.529999732971191,0.5,8204,,55739665,2313928,955237
2017-03-18,1712.8765869140625,737.2518310546875,41.810272216796875,-71.42176818847656,41.856895446777344,-71.39120483398438,1.5808604955673218,11.899999618530273,0.5,4384,,72894761,1568893,
2017-03-19,1724.460205078125,656.583251953125,41.82176971435547,-71.41714477539062,41.84775924682617,-71.38777923583984,2.6790719032287598,16.059999465942383,0.5,2872,,76535862,748636,
2017-03-20,1952.92626953125,3533.733642578125,41.81741714477539,-71.4088134765625,41.835636138916016,-71.3990478515625,1.3482023477554321,4.650000095367432,0.5299999713897705,7747,,79882019,2350278,721990
2017-03-21,2004.641357421875,3843.720703125,41.81732940673828,-71.40878295898438,41.835548400878906,-71.39899444580078,1.1380665302276611,3.700000047683716,0.5099999904632568,7560,,77977701,2330765,1118984
2017-03-22,2038.6964111328125,3823.98095703125,41.826881408691406,-71.40792846679688,41.835731506347656,-71.40001678466797,1.2339043617248535,3.509999990463257,0.5,6169,,79184207,652982,1868120
2017-03-23,2058.605712890625,3908.1865234375,41.82682418823242,-71.40872955322266,41.8360481262207,-71.40001678466797,1.1695235967636108,3.4100000858306885,0.5,7034,,63116175,1113776,1898370
2017-03-24,2014.84521484375,3860.722412109375,41.82685470581055,-71.40804290771484,41.84980010986328,-71.39459228515625,1.0794951915740967,2.809999942779541,0.5,6119,,79589142,1256514,1591401
2017-03-25,1733.8450927734375,904.6162109375,41.79339599609375,-71.42655181884766,41.96587371826172,-71.1890869140625,1.9446420669555664,34.81999969482422,0.5,2523,,46084497,947230,
2017-03-26,1811.4869384765625,3239.30810546875,41.8305778503418,-71.41254425048828,41.8460578918457,-71.3970718383789,1.5887335538864136,5.199999809265137,0.5199999809265137,1861,1580929,56273102,160246,
2017-03-27,1966.4615478515625,3024.255126953125,41.82663345336914,-71.40811157226562,41.835636138916016,-71.40001678466797,1.2896915674209595,2.8399999141693115,0.5,5291,,81583143,334994,1670903
2017-03-28,2016.703369140625,3389.863037109375,41.813987731933594,-71.60595703125,41.95022964477539,-71.40001678466797,2.8381099700927734,32.349998474121094,0.5099999904632568,6907,,74818243,1837677,1304443
2017-03-29,1962.3739013671875,2527.075927734375,41.583885192871094,-71.49632263183594,41.83675003051758,-71.38958740234375,2.5129308700561523,35.88999938964844,0.5,5172,,73403761,822205,1346961
2017-03-30,2139.486083984375,5199.18701171875,39.176475524902344,-76.66928100585938,41.8359489440918,-71.39991760253906,1.6652214527130127,2.940000057220459,0.550000011920929,8747,,77703939,1433129,2407754
2017-03-31,1738.3526611328125,28.410438537597656,40.094459533691406,-75.2315444946289,41.83543395996094,-71.40279388427734,9.711052894592285,38.709999084472656,0.5,1178,,61763867,189721,
2017-04-01,1833.8502197265625,1126.55517578125,40.074920654296875,-75.31803131103516,40.18769073486328,-75.19303131103516,5.593502044677734,35.150001525878906,0.5,9857,,63267124,3691687,441852
