Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,18.25,,41.83509826660156,-71.40778350830078,41.835147857666016,-71.40771484375,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,18.25,,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,18.25,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,18.25,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,18.25,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,18.25,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,18.25,,41.835147857666016,-71.40786743164062,41.835147857666016,-71.40786743164062,2.3499999046325684,2.3499999046325684,2.3499999046325684,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,18.25,,41.8352165222168,-71.40790557861328,41.8352165222168,-71.40790557861328,0.8299999833106995,0.8299999833106995,0.8299999833106995,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,18.25,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,18.25,,,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,18.25,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,18.25,,41.83512496948242,-71.40792846679688,41.835235595703125,-71.40785217285156,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,18.25,,,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,18.25,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,18.25,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,18.25,,,,,,,,,,900000,,
