Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,18.25,,,,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,18.25,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,18.25,,41.835147857666016,-71.40790557861328,41.835182189941406,-71.40771484375,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.83509063720703,-71.4078140258789,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,18.25,,41.835147857666016,-71.4078598022461,41.83528518676758,-71.40771484375,,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,18.25,,,,,,,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,18.25,,41.835147857666016,-71.40790557861328,41.835182189941406,-71.40771484375,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,18.25,,41.835113525390625,-71.40776824951172,41.83512878417969,-71.40763092041016,,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,18.25,,41.835147857666016,-71.40789794921875,41.835391998291016,-71.40771484375,,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,18.25,,,,,,,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,18.25,,,,,,,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,18.25,,41.835147857666016,-71.40809631347656,41.835235595703125,-71.40771484375,,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,18.25,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,18.25,,,,,,,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,18.25,,,,,,,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,18.25,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,18.25,,41.835147857666016,-71.40779876708984,41.835235595703125,-71.40771484375,,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,18.25,,,,,,,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,18.25,,,,,,,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,18.25,,41.835208892822266,-71.40782165527344,41.83525466918945,-71.40780639648438,,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,18.25,,,,,,,,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,18.25,,41.835147857666016,-71.40792846679688,41.835323333740234,-71.40771484375,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,13.047065734863281,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,30,,643417,
07:45:00.000-04:00,08:00:00.000-04:00,18.25,,41.83509063720703,-71.40786743164062,41.83534240722656,-71.40760803222656,0.5899999737739563,0.5899999737739563,0.5899999737739563,40,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,61.460662841796875,2608.590087890625,41.81943130493164,-71.4078598022461,41.83552169799805,-71.39533996582031,5.896543502807617,9.239999771118164,1.0199999809265137,106,532023,238170,129807
08:15:00.000-04:00,08:30:00.000-04:00,78.87982177734375,5579.12451171875,41.787960052490234,-71.39521026611328,41.819129943847656,-71.3706283569336,6.036386013031006,11.489999771118164,2.1600000858306885,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,78.87982177734375,5713.85791015625,41.7427978515625,-71.37052154541016,41.7877082824707,-71.33997344970703,5.976752281188965,8.180000305175781,2.2699999809265137,,900000,,
08:45:00.000-04:00,09:00:00.000-04:00,78.87982177734375,5597.51708984375,41.730709075927734,-71.33968353271484,41.74253845214844,-71.28079986572266,5.83200216293335,8.119999885559082,2.2799999713897705,,900000,,
09:00:00.000-04:00,09:15:00.000-04:00,78.87982177734375,5955.5634765625,41.681365966796875,-71.29166412353516,41.73051071166992,-71.28044891357422,6.463132858276367,9.369999885559082,3.559999942779541,,900000,,
09:15:00.000-04:00,09:30:00.000-04:00,78.87982177734375,5424.14404296875,41.672855377197266,-71.29173278808594,41.708770751953125,-71.27885437011719,5.883822441101074,7.960000038146973,3.4800000190734863,,900000,,
09:30:00.000-04:00,09:45:00.000-04:00,78.87982177734375,4988.77587890625,41.70909118652344,-71.30445098876953,41.73783493041992,-71.28035736083984,5.445842266082764,7.460000038146973,2.740000009536743,,900000,,
09:45:00.000-04:00,10:00:00.000-04:00,78.87982177734375,5548.68212890625,41.737388610839844,-71.35432434082031,41.76125717163086,-71.30445098876953,5.955629348754883,7.53000020980835,0.8999999761581421,,900000,,
10:00:00.000-04:00,10:15:00.000-04:00,78.87982177734375,5145.45703125,41.7614631652832,-71.38236236572266,41.801570892333984,-71.35450744628906,5.4342451095581055,8.710000038146973,0.7799999713897705,,900000,,
10:15:00.000-04:00,10:30:00.000-04:00,78.87982177734375,4216.11376953125,41.80181884765625,-71.39698791503906,41.82334899902344,-71.38211059570312,4.521159648895264,9.720000267028809,0.8899999856948853,,900000,,
10:30:00.000-04:00,10:45:00.000-04:00,69.29680633544922,2166.265625,41.82349395751953,-71.40792083740234,41.83559036254883,-71.39701080322266,3.0248992443084717,7.989999771118164,0.5600000023841858,,757748,73294,
10:45:00.000-04:00,11:00:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,202755,
11:00:00.000-04:00,11:15:00.000-04:00,13.616020202636719,,41.83507537841797,-71.40776824951172,41.8351936340332,-71.40771484375,,,,31,,671475,
11:15:00.000-04:00,11:30:00.000-04:00,,,41.83507537841797,-71.40799713134766,41.83549499511719,-71.40762329101562,,,,25,,,
11:30:00.000-04:00,11:45:00.000-04:00,10.837924003601074,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,97,,534473,
11:45:00.000-04:00,12:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
12:00:00.000-04:00,12:15:00.000-04:00,14.130547523498535,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,44,,696849,
12:15:00.000-04:00,12:30:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
12:30:00.000-04:00,12:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,23,,900000,
12:45:00.000-04:00,13:00:00.000-04:00,18.249998092651367,,,,,,,,,,,900000,
13:00:00.000-04:00,13:15:00.000-04:00,18.249998092651367,,,,,,,,,41,,900000,
13:15:00.000-04:00,13:30:00.000-04:00,18.249998092651367,,,,,,,,,23,,900000,
13:30:00.000-04:00,13:45:00.000-04:00,20.475175857543945,,41.8351936340332,-71.40776824951172,41.8351936340332,-71.40776824951172,,,,129,,860809,39191
13:45:00.000-04:00,14:00:00.000-04:00,18.484376907348633,,41.7982292175293,-71.4054946899414,41.834327697753906,-71.3311767578125,,,,,,,4128
14:00:00.000-04:00,14:15:00.000-04:00,16.933664321899414,,41.79231262207031,-71.32625579833984,41.79632568359375,-71.32079315185547,0.5400000214576721,0.5400000214576721,0.5400000214576721,248,,,151571
14:15:00.000-04:00,14:30:00.000-04:00,,,41.796268463134766,-71.32079315185547,41.79670715332031,-71.3199462890625,,,,206,,,
14:30:00.000-04:00,14:45:00.000-04:00,4.301106929779053,,41.79586410522461,-71.32068634033203,41.79654312133789,-71.3199462890625,,,,246,,13738,52203
14:45:00.000-04:00,15:00:00.000-04:00,17.1846981048584,,41.79364776611328,-71.32189178466797,41.79592514038086,-71.32012939453125,,,,472,,,223017
15:00:00.000-04:00,15:15:00.000-04:00,21.019786834716797,17.10506820678711,41.793617248535156,-71.322265625,41.79463195800781,-71.32087707519531,,,,269,,239546,209749
15:15:00.000-04:00,15:30:00.000-04:00,37.23981475830078,87.9716567993164,41.79377746582031,-71.32598114013672,41.79541778564453,-71.32208251953125,,,,750,,371185,385605
15:30:00.000-04:00,15:45:00.000-04:00,47.80237579345703,60.97221374511719,41.79349899291992,-71.33757781982422,41.800880432128906,-71.32523345947266,,,,886,,379508,520492
15:45:00.000-04:00,16:00:00.000-04:00,17.3533935546875,,41.80030059814453,-71.33873748779297,41.80046844482422,-71.33836364746094,,,,612,,162546,182431
16:00:00.000-04:00,16:15:00.000-04:00,22.071401596069336,,41.80022048950195,-71.33785247802734,41.80085372924805,-71.33748626708984,,,,352,,477295,160831
16:15:00.000-04:00,16:30:00.000-04:00,25.133167266845703,50.02122116088867,41.800655364990234,-71.39639282226562,41.81877517700195,-71.33712768554688,,,,189,,342808,121230
16:30:00.000-04:00,16:45:00.000-04:00,22.176090240478516,69.73104095458984,41.820579528808594,-71.4078140258789,41.835166931152344,-71.4031753540039,0.8799999952316284,0.8799999952316284,0.8799999952316284,129,,68236,191708
16:45:00.000-04:00,17:00:00.000-04:00,18.25,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,19,,900000,
17:00:00.000-04:00,17:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,
17:15:00.000-04:00,17:30:00.000-04:00,18.25,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,,,900000,
